"open","high","low","close","volume","timestamp","pair","timeframe"
0.02975,0.02975,0.02975,0.02975,0,1608168120,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168180,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168240,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168300,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168360,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168420,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168480,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168540,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168600,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168660,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168720,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168780,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168840,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168900,"ETH/BTC","1"
0.02975,0.02975,0.02975,0.02975,0,1608168960,"ETH/BTC","1"
0.029733,0.029774,0.029679,0.029771,4.595848,1608169020,"ETH/BTC","1"
0.029777,0.029777,0.029775,0.029775,0.196253,1608169080,"ETH/BTC","1"
0.029775,0.029775,0.029775,0.029775,0,1608169140,"ETH/BTC","1"
0.029775,0.029775,0.029775,0.029775,0,1608169200,"ETH/BTC","1"
0.029775,0.029775,0.029775,0.029775,0,1608169260,"ETH/BTC","1"
0.029775,0.029775,0.029775,0.029775,0,1608169320,"ETH/BTC","1"
0.029775,0.029775,0.029775,0.029775,0,1608169380,"ETH/BTC","1"
0.029775,0.029775,0.029775,0.029775,0.597769,1608169440,"ETH/BTC","1"
0.029679,0.029758,0.029679,0.029752,2.418205,1608169500,"ETH/BTC","1"
0.029736,0.029738,0.029727,0.029727,2.29246,1608169560,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169620,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169680,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169740,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169800,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169860,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169920,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608169980,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608170040,"ETH/BTC","1"
0.029727,0.029727,0.029727,0.029727,0,1608170100,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0.6,1608170160,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170220,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170280,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170340,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170400,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170460,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170520,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170580,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170640,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170700,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170760,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170820,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170880,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608170940,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608171000,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608171060,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608171120,"ETH/BTC","1"
0.02965,0.02965,0.02965,0.02965,0,1608171180,"ETH/BTC","1"
0.029607,0.029607,0.029502,0.029502,0.08,1608171240,"ETH/BTC","1"
0.029502,0.029502,0.029502,0.029502,0,1608171300,"ETH/BTC","1"
0.029502,0.029502,0.029502,0.029502,0,1608171360,"ETH/BTC","1"
0.029502,0.029502,0.029502,0.029502,0,1608171420,"ETH/BTC","1"
